"","Gene_Clusters"
"NEU1","1"
"RBBP8","1"
"PCGF5","1"
"SLC7A5","1"
"IGF2R","1"
"VMA21","1"
"RCBTB2","2"
"CFL1","1"
"DUSP10","1"
"CD47","1"
"UBE2H","1"
"S100A6","2"
"N4BP3","1"
"SP140","1"
"PDLIM1","2"
"OASL","1"
"TM6SF1","1"
"HES6","1"
"C1orf21","1"
"SDF4","1"
"METTL9","2"
"PELI2","1"
"SEC61B","1"
"NFATC2","1"
"MT-CO2","2"
"CLEC2D","2"
"GPM6B","2"
"WNK1","2"
"PRSS21","2"
"SH2B3","1"
"DIP2A","1"
"LDHB","2"
"ADRA2B","2"
"KCTD10","1"
"HGSNAT","1"
"C11orf24","1"
"KLF9","2"
"MFSD10","2"
"PPP2R5C","2"
"IL16","1"
"RCOR1","1"
"DSE","2"
"ZSCAN18","1"
"HNRNPU","1"
"FAM107B","1"
"URB1-AS1","2"
"CDC42EP3","1"
"H2AFJ","2"
"KLF6","1"
"LINC00861","1"
"BACH1","1"
"PHF20L1","1"
"FXYD5","1"
"RPL23","2"
"CCNH","1"
"MT-ND4","2"
"HLA-B","1"
"FAM173A","2"
"HNRNPA3","1"
"TXNDC12","1"
"GNG5","1"
"ARF1","1"
"GBP1","1"
"HPGDS","2"
"EMD","1"
"GRAP2","2"
"FYB1","2"
"BNC2","1"
"ICOS","1"
"POMP","1"
"ARPC2","1"
"IL4R","1"
"MTERF2","1"
"DAPK1","1"
"CYSTM1","1"
"CES1","1"
"MCOLN2","2"
"COL6A2","2"
"GIMAP4","1"
"SLC1A5","2"
"MYL12A","1"
"MIR181A1HG","1"
"TTC16","2"
"PTGER4","1"
"SNAP23","1"
"SYTL2","1"
"RBPJ","1"
"HAPLN3","1"
"EPS8","2"
"AREG","1"
"CITED2","2"
"RPL22L1","1"
"AC018529.2","1"
"CCDC167","1"
"SH2D1A","2"
"NDUFA6","1"
"HIPK2","1"
"PLP2","1"
"MAPRE1","1"
"FAM110A","2"
"BIN2","1"
"ANKRD37","1"
"CFAP20","1"
"TMEM204","2"
"CDKN1B","2"
"RIPOR1","1"
"ATP2B4","1"
"CYBA","1"
"UCP2","1"
"CD109","1"
"BRI3","1"
"DAPK2","2"
"ADAM28","1"
"PPP2R2B","2"
"SNHG25","2"
"AC012360.3","2"
"ZNF365","2"
"MAFF","1"
"CASK","2"
"CADM1","1"
"ECE1","1"
"TESPA1","1"
"NFKBIB","1"
"RIOK3","1"
"SLC25A29","2"
"TMEM140","1"
"SCX","1"
"APOE","1"
"SLC14A1","2"
"RIPOR2","1"
"AC103591.3","1"
"RBPMS2","1"
"PSMC4","1"
"SMDT1","2"
"NDUFB2","1"
"PRKX","1"
"WEE1","2"
"HDAC4","1"
"HNRNPK","1"
"HERC6","1"
"DEDD2","1"
"PER2","1"
"RASGEF1A","2"
"LAPTM4A","1"
"JMJD1C","1"
"AFAP1","1"
"TERF1","2"
"SLC3A2","1"
"RBL2","2"
"TBC1D19","2"
"HOXB-AS1","1"
"CDKN1C","2"
"IFI27L2","1"
"MYDGF","1"
"PMAIP1","1"
"RAB22A","1"
"NAMPT","1"
"LGALS9B","1"
"SMARCA2","2"
"GLRX","1"
"GABPB1","1"
"GNGT2","1"
"CHMP2A","1"
"PRRC2C","1"
"P2RY11","2"
"HCST","2"
"ARHGDIB","2"
"EVL","1"
"APOBEC3G","1"
"PDCD5","2"
"SRGAP3","1"
"SLC6A4","1"
"MTSS1","1"
"PSMD8","1"
"NUDT11","1"
"SAP30","2"
"ATP6V1F","1"
"GPSM3","1"
"GRK5","1"
"TAPBP","1"
"FAM84B","2"
"POLR2E","1"
"AL135791.1","2"
"AC012306.2","2"
"CDK17","1"
"BAIAP2","1"
"BCL2L1","1"
"NDUFB10","2"
"MYO6","2"
"FSD1","1"
"RPGR","1"
"LPAR2","2"
"ANKRD13D","1"
"ANP32E","1"
"MSN","1"
"SH3BP5","1"
"SLC2A4RG","2"
"CCDC85B","1"
"RILPL2","1"
"DERL1","1"
"NASP","1"
"AL136295.5","1"
"PGAM1","1"
"TRIM8","2"
"ZNF844","1"
"GSN","1"
"CHMP1B","1"
"SSX2IP","1"
"COX7C","2"
"VDAC1","1"
"KDELR2","1"
"RPS20","2"
"MORF4L2","1"
"SDR42E2","2"
"SPCS3","1"
"HIF1A","1"
"SLAMF1","2"
"STARD7","2"
"PHF19","1"
"PIP4K2A","1"
"DHRS3","1"
"DAZAP2","1"
"SIK3","1"
"UPF3A","2"
"CLUH","2"
"BLOC1S1","2"
"RAP1B","1"
"KLF2","2"
"TCF4","1"
"KLF7","1"
"ARNTL","1"
"CD160","1"
"LGALS3BP","1"
"RGS10","2"
