marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
CD3D	Regulatory T (Treg) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8 T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T helper cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer T(NKT) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer T (NKT) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Naive cytotoxic T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Regulatory CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Immune cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Central memory T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Proliferative CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Cytotoxic T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer T(NKT) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Immune cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer T(NKT) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Naive T(Th0) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Regulatory T(Treg) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Natural killer T (NKT) cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Memory CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Activated CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Lymphocyte	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Effector CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD8+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	Effector CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	T helper cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3D	CD4+ T cell	0	1.23840206772432	0.459	0.056	0	2	0.403
CD3E	Natural killer T (NKT) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Naive CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Natural killer T(NKT) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Naive CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Regulatory T(Treg) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD4+ recently activated effector memory or effector T cell (CTL)	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Natural killer T (NKT) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Pyramidal cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Memory CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Exhausted CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T helper cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ recently activated effector memory or effector T cell (CTL)	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Lymphocyte	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ mucosal-associated invariant T cell(CD8+ MAIT)	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Memory CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Regulatory CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Exhausted CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Cytotoxic T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Proliferative CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Lymphocyte	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Naive CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Naive CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Memory CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Natural killer cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Dendritic cell 2A	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Natural killer T(NKT) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Effector CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Effector memory CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Natural killer T(NKT) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Natural killer cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Proliferative CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T helper(Th) cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Regulatory CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	CD4+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	Effector CD8+ T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3E	T cell	0	0.79110046991035	0.864	0.433	0	2	0.431
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	CD8+ T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	CD4+ T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	Cytotoxic T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	Cytotoxic  lymphocyte	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	Natural killer T (NKT) cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	Lymphocyte	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD3G	T cell	0	0.766886879655755	0.351	0.053	0	2	0.298
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	Plasma cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	Plasma cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	Naive B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	Naive B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	Plasma cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	Plasma cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	CD4+ T cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	CD4+ T cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	Naive B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	Naive B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B-2 cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B-2 cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	Plasma cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	Plasma cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	B cell	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	B cell	0	1.27569139539396	0.784	0.032	0	5	0.752
CD79A	Lymphocyte	0	2.56412047974356	0.956	0.033	0	7	0.923
CD79A	Lymphocyte	0	1.27569139539396	0.784	0.032	0	5	0.752
